"Word","Length","Freq_HAL","Pron","I_Mean_RT","I_NMG_Mean_RT"
"a","1","10,610,626","""e","798.917","662.087"
"aah","3","222","#","816.429","646.400"
"Aaron","5","10,806","""E.r@n","736.062","686.111"
"aback","5","387","@.b""ak","796.267","596.538"
"abacus","6","513","""a.b@.k@s","964.400","792.688"
"abandon","7","3,761","@.b""an.4@n","695.719","623.963"
"abandoned","9","5,160","@.b""an.4@nd","860.774","635.160"
"abandoning","10","1,005","@.b""an.4@n.IN","740.545","782.783"
"abandonment","11","786","@.b""an.4@n.m@nt","771.088","794.696"
"abase","5","30","@.b""es","803.273","646.565"
"abasement","9","7","@.b""es.m@nt","1,037.059","809.741"
"abash","5","1","@.b""aS","748.714","594.429"
"abate","5","279","@.b""et","719.542","668.393"
"abated","6","144","@.b""e4.@d","894.227","693.280"
"abbess","6","33","""a.b@s","885.143","797.000"
"abbey","5","2,286","""a.bi","726.190","682.565"
"abbot","5","616","""a.b@t","808.583","750.130"
"abbreviate","10","203","@.br""i.vi.et","795.032","708.444"
"abbreviated","11","1,214","@.br""i.vi.%e4.@d","698.452","695.630"
"abbreviation","12","1,908","@.br%i.vi.""e.Sn=","728.909","714.929"
"abbreviations","13","2,480","@.br%i.vi.""e.Sn=z","729.129","689.480"
"abdicate","8","118","""ab.d@.ket","1,056.000","819.909"
"abdomen","7","1,279","""ab.d@.m@n","813.433","758.667"
"abdominal","9","850","ab.d""A.m@.nl=","715.548","737.762"
"abduct","6","180","@b.d""Vkt","769.667","707.815"
"abduction","9","1,995","@b.d""Vk.Sn=","795.875","667.385"
"Abe","3","1,235","""eb","820.667","625.519"
"abed","4","143","@.b""Ed","887.500","634.500"
"Abel","4","1,009","""e.bl=","782.750","713.920"
"Abel's","6","52","""e.bl=z","840.143","775.840"
"aberrant","8","166","@.b""E.r@nt","955.385","818.762"
"aberration","10","556","%a.b@`.r""e.Sn=","946.550","882.481"
"aberrations","11","299","%a.b@`.r""e.Sn=z","1,005.368","829.625"
"abet","4","81","@.b""Et","792.000","619.136"
"abetted","7","132","@.b""E4.@d","998.500","654.625"
"abeyance","8","36","@.b""e@ns","914.000","889.750"
"abhor","5","383","@b.h""Or","786.150","789.000"
"abhorred","8","87","@b.h""Ord","798.444","791.882"
"abhorrent","9","366","@b.h""Or.@nt","794.154","781.316"
"abide","5","1,967","@.b""aId","773.212","633.828"
"abides","6","443","@.b""aIdz","750.630","696.222"
"abiding","7","1,363","@.b""aI4.IN","784.667","620.160"
"Abigail","7","693","""a.b@.gel","881.115","802.154"
"abilities","9","9,029","@.b""Il.@.4iz","657.062","711.815"
"ability","7","56,922","@.b""Il.@.4i","619.677","583.037"
"abject","6","505","""ab.dZEkt","692.667","768.385"
